lwmainid,DR_Num,Arizona_Statute_Code,Charge_Description,Attempted_Or_Completed,Report_Date,Date_Occurred,Time_Occurred,Date_Found,Time_Found,District,Beat,Zone,Officer,Location,City,State,Case_Status_Code,Case_Status_Description
658372,22-06056  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,03/21/2022,03/21/2022,0238,03/21/2022,0238,D1,01,103,"Lea, A.  (1215)",N Hayden Rd / E McKellips Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658373,22-06057  ,13-1802A1,Theft -- From Building,Completed,03/21/2022,03/21/2022,0354,03/21/2022,0354,D1,03,706,"Fisher, R.  (1462)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658374,22-06058  ,13-1502A1,Criminal Trespass 3rd Deg-Property,Completed,03/21/2022,03/21/2022,0332,03/21/2022,0332,D2,06,904,"Duarte, M.  (1623)",E Indian Pz,Scottsdale,AZ,CBA,Cleared By Arrest
658375,22-06059  ,13-3408A1,Narcotic Drug (Synthetic/Rx)-Possess/Use,Completed,03/21/2022,03/21/2022,0415,03/21/2022,0415,,99,99,"Fisher, R.  (1462)",E Hancock Av / N Scottsdale Rd,Tempe,AZ,CBE,Cleared By Exception
658377,22-06061  ,13-1506A1,Burglary 3rd Degree -- Commercial Building,Completed,03/21/2022,03/21/2022,0134,03/21/2022,0244,D3,13,2908,"Smyth, W.  (B699)",E Shea Bl,Scottsdale,AZ,INAC,Inactive
658378,22-06062  ,13-1203A1,Assault-Intentional/Recklessly Injure-Dv,Completed,03/21/2022,03/21/2022,0709,03/21/2022,0709,D2,06,906,"Vazquez, J.  (1515)",E Heatherbrae Av,Scottsdale,AZ,LFF,Long Form Filed
658379,22-06063  ,13-2105A2,Fraudulent Use of Credit Card-Obtain Goods or Services,Completed,03/21/2022,03/17/2022,0707,03/21/2022,0707,D1,03,704,"Rauch, B.  (877)",N 70th St,Scottsdale,AZ,INAC,Inactive
658381,22-06065  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/21/2022,03/18/2022,1800,03/21/2022,0730,D4,17,3405,"Schurr, D.  (601)",E Redfield Rd,Scottsdale,AZ,INAC,Inactive
658382,22-06066  ,IMPOUND,Impound Property,Completed,03/21/2022,03/21/2022,0838,03/21/2022,0838,D2,06,905,"Palmer, S.  (1229)",E 6th Av,Scottsdale,AZ,INAC,Inactive
658383,22-06067  ,13-3407A1,Dangerous Drug-Possess/Use,Completed,03/21/2022,03/21/2022,0823,03/21/2022,0823,D2,05,907,"Buckner, B.  (1422)",E Indian School Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658384,22-06068  ,13-1802A1,Theft -- Other Larceny,Completed,03/21/2022,03/08/2022,1900,03/11/2022,1800,D2,06,809,"Royston, N.  (B1252)",E Main St,Scottsdale,AZ,INAC,Inactive
658385,22-06069  ,13-1802A1,Theft -- From Building,Completed,03/21/2022,03/14/2022,0810,03/14/2022,0850,D2,07,804,"Royston, N.  (B1252)",E Main St,Scottsdale,AZ,INAC,Inactive
658386,22-06070  ,13-1802A1,Theft -- Other Larceny,Completed,03/21/2022,03/17/2022,1830,03/17/2022,1830,D1,02,709,"Iwan, M.  (B1603)",N Hayden Rd,Scottsdale,AZ,INAC,Inactive
658388,22-06072  ,13-1802A1,Theft -- Other Larceny,Completed,03/21/2022,03/15/2022,1300,03/15/2022,1830,D2,06,1103,"Royston, N.  (B1252)",E Chaparral Rd,Scottsdale,AZ,INAC,Inactive
658389,22-06074  ,13-1802A1,Theft -- From Building,Completed,03/21/2022,03/17/2022,1135,03/17/2022,1135,D1,01,302,"McDonough, J.  (768)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658390,22-06075  ,13-2310A,Fraudulent Schemes/Artifices,Completed,03/21/2022,03/19/2022,1630,03/19/2022,1705,D4,15,3501,"Schurr, D.  (601)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658391,22-06076  ,13-1802A1,Theft -- From Building,Completed,03/21/2022,03/19/2022,0000,03/19/2022,0010,D2,06,806,"Royston, N.  (B1252)",N Brown Av,Scottsdale,AZ,INAC,Inactive
658393,22-06077  ,13-1802A1,Theft -- Pocket Pick,Completed,03/21/2022,03/19/2022,1030,03/19/2022,1045,D2,06,904,"Royston, N.  (B1252)",E Indian Pz,Scottsdale,AZ,INAC,Inactive
658394,22-06078  ,13-1506A1,Burglary 3rd Degree -- Mailboxes,Completed,03/21/2022,03/19/2022,1545,03/21/2022,0700,D2,06,906,"Smyth, W.  (B699)",N 78th St,Scottsdale,AZ,INAC,Inactive
658395,22-06080  ,13-3408A1,Narcotic Drug (Synthetic/Rx)-Possess/Use,Completed,03/21/2022,03/21/2022,1118,03/21/2022,1118,D4,18,3407,"Van Kirk, M.  (1524)",E McDowell Mountain Ranch Rd,Scottsdale,AZ,LFF,Long Form Filed
658396,22-06081  ,13-2907.01A,False Report to Law Enforcement,Completed,03/21/2022,03/21/2022,1112,03/21/2022,1112,D2,06,806,"Palmer, S.  (1229)",E Osborn Rd,Scottsdale,AZ,LFF,Long Form Filed
658397,22-06082  ,13-1506A1,Burglary 3rd Degree -- Commercial Building,Completed,03/21/2022,03/21/2022,1141,03/21/2022,1141,D1,01,303,"Houk, W.  (772)",E McDowell Rd,Scottsdale,AZ,INAC,Inactive
658398,22-06083  ,13-1802A1,Theft -- Pocket Pick,Completed,03/21/2022,03/19/2022,2330,03/20/2022,0020,D2,06,904,"Royston, N.  (B1252)",E Indian Pz,Scottsdale,AZ,INAC,Inactive
658399,22-06085  ,13-2105A2,Fraudulent Use of Credit Card-Obtain Goods or Services,Completed,03/21/2022,03/05/2022,1138,03/20/2022,1138,D4,18,3407,"Schurr, D.  (601)",E Pine Valley DR,Scottsdale,AZ,INAC,Inactive
658400,22-06086  ,28-664A2,Accidents - Fail to Locate Owner,Completed,03/21/2022,03/21/2022,1200,03/21/2022,1220,D1,03,705,"Dittman, D.  (1146)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658401,22-06088  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/21/2022,03/21/2022,0100,03/21/2022,0800,D2,06,904,"Egan, L.  (B1736)",N Saddlebag Tr,Scottsdale,AZ,INAC,Inactive
658402,22-06089  ,13-2310A,Fraudulent Schemes/Artifices,Completed,03/21/2022,03/21/2022,1202,03/21/2022,1202,D2,07,902,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,INAC,Inactive
658405,22-06092  ,13-1802A1,Theft -- Other Larceny,Completed,03/21/2022,03/19/2022,1300,03/19/2022,1300,D2,06,905,"Egan, L.  (B1736)",N Brown Av,Scottsdale,AZ,INAC,Inactive
658409,22-06096  ,13-1506A1,Burglary 3rd Degree -- Commercial Building,Completed,03/21/2022,03/20/2022,0715,03/20/2022,0717,D4,19,3801,"Miller, M.  (856)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658412,22-06099  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/21/2022,03/21/2022,1408,03/21/2022,1408,D3,12,3004,"Giusti, P.  (1611)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658415,22-06102  ,13-2008A,Taking Identity of Another,Completed,03/21/2022,03/21/2022,0940,03/21/2022,0940,D1,04,703,"Wagner, A.  (B1648)",E Avalon DR,Scottsdale,AZ,INAC,Inactive
658417,22-06104  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/21/2022,03/21/2022,1116,03/21/2022,1119,D4,16,3605,"Ange, J.  (718)",N Hayden Rd,Scottsdale,AZ,INAC,Inactive
658418,22-06105  ,13-1602A2,Criminal Damage-Tamper,Completed,03/21/2022,03/13/2022,1616,03/18/2022,1700,D4,19,4001,"Ostrem, J.  (B1733)",E La Junta Rd,Scottsdale,AZ,INAC,Inactive
658419,22-06106  ,13-2310A,Fraudulent Schemes/Artifices,Completed,03/21/2022,03/07/2022,0000,03/14/2022,0000,D3,14,3117,"Delgado (Gaba), C.  (B1186)",N 115th St,Scottsdale,AZ,INAC,Inactive
658424,22-06109  ,IMPOUND,Impound Property,Completed,03/21/2022,03/20/2022,2100,03/21/2022,1103,D4,18,3407,"Van Kirk, M.  (1524)",E Blanche DR,Scottsdale,AZ,INAC,Inactive
658425,22-06110  ,13-1802A1,Theft -- Other Larceny,Completed,03/21/2022,03/21/2022,1100,03/21/2022,1510,D1,02,408,"Wolken, C.  (B1725)",E McDowell Rd,Scottsdale,AZ,INAC,Inactive
658426,22-06111  ,IMPOUND,Impound Property,Completed,03/21/2022,03/21/2022,1558,03/21/2022,1558,D4,18,3802,"Van Kirk, M.  (1524)",N Pima Rd,Scottsdale,AZ,INAC,Inactive
658428,22-06114  ,28-695A,Aggressive Driving,Completed,03/21/2022,03/21/2022,1613,03/21/2022,1613,,99,99,"Stanley, D.  (1234)",L101 / E McDowell Rd,Salt River,AZ,CBA,Cleared By Arrest
658429,22-06117  ,IMPOUND,Impound Property,Completed,03/21/2022,03/21/2022,1717,03/21/2022,1717,D2,06,9901,"Royston, N.  (B1252)",N 75th St,Scottsdale,AZ,INAC,Inactive
658430,22-06118  ,13-2105A1,Fraudulent Use of Credit Card-Intent to Defraud,Completed,03/21/2022,03/21/2022,0940,03/21/2022,0940,D3,13,2910,"Wagner, A.  (B1648)",E Mountainview Lake DR,Scottsdale,AZ,INAC,Inactive
658431,22-06119  ,13-2002A1,Forgery-Written Instrument,Completed,03/21/2022,03/21/2022,1627,03/21/2022,1627,D3,14,3117,"Sledge, J.  (1565)",E Sahuaro DR,Scottsdale,AZ,INAC,Inactive
658432,22-06121  ,13-1805A5,Shoplifting-Concealment,Completed,03/21/2022,03/21/2022,1625,03/21/2022,1628,D2,07,1002,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,INAC,Inactive
658433,22-06122  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/21/2022,03/21/2022,1629,03/21/2022,1629,D4,17,3306,"Egan, L.  (B1736)",E Thunderbird Rd,Scottsdale,AZ,INAC,Inactive
658434,22-06123  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/21/2022,03/21/2022,1659,03/21/2022,1659,D4,16,3605,"Sodeman, L.  (B1150)",N Hayden Rd,Scottsdale,AZ,INAC,Inactive
658435,22-06125  ,13-2310A,Fraudulent Schemes/Artifices,Completed,03/21/2022,03/21/2022,1741,03/21/2022,1741,D4,15,3501,"Sodeman, L.  (B1150)",E Greenway Rd,Scottsdale,AZ,INAC,Inactive
658437,22-06126  ,13-1802A3,Theft-Obtain By Misrepresent,Completed,03/21/2022,03/21/2022,1740,03/21/2022,1740,D4,19,3801,"Marks, D.  (1617)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658438,22-06127  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/21/2022,03/21/2022,1910,03/21/2022,1910,D2,07,1002,"Browning, D.  (1594)",E Camelback Rd,Scottsdale,AZ,LFP,Long Form Pending
658439,22-06128  ,DEATH,Death Investigation,Completed,03/21/2022,03/21/2022,1912,03/21/2022,1912,D2,05,815,"Hawley, C.  (1577)",E Olive Av,Scottsdale,AZ,INAC,Inactive
658440,22-06129  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/21/2022,03/21/2022,1910,03/21/2022,1918,D2,07,902,"Stanley, D.  (1234)",E Camelback Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658442,22-06131  ,28-3473A,Suspended/Revoked D.L.,Completed,03/21/2022,03/21/2022,1955,03/21/2022,1955,D1,01,306,"Farkas, E.  (1529)",N Hayden Rd / E McDowell Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658442,22-06131  ,13-2506A2,Failure to Appear 2nd Deg-Written Promise to Appear,Completed,03/21/2022,03/21/2022,1955,03/21/2022,1955,D1,01,306,"Farkas, E.  (1529)",N Hayden Rd / E McDowell Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658443,22-06132  ,13-1203A3,Assault-Touched to Injure,Completed,03/21/2022,03/21/2022,1926,03/21/2022,1926,D3,09,2406,"Cariveau, M.  (1603)",E Tuckey Ln,Scottsdale,AZ,CBE,Cleared By Exception
658445,22-06136  ,13-3407A1,Dangerous Drug-Possess/Use,Completed,03/21/2022,03/21/2022,2059,03/21/2022,2059,D4,17,3404,"Lackowski, A.  (1537)",N Frank Lloyd Wright Bl,Scottsdale,AZ,PLR,Pending Lab Results
658446,22-06137  ,IMPOUND,Impound Property,Completed,03/21/2022,03/21/2022,2127,03/21/2022,2127,D4,20,4401,"Menge, W.  (677)",N 69th St,Scottsdale,AZ,INAC,Inactive
658447,22-06138  ,13-1506A1,Burglary 3rd Degree -- Commercial Building,Completed,03/21/2022,03/21/2022,1810,03/21/2022,1814,D3,11,2902,"Marienau, R.  (1467)",E Shea Bl,Scottsdale,AZ,ACTI,Further Investigation
658448,22-06139  ,13-1602A1,Criminal Damage-Deface (Vehicle),Completed,03/21/2022,03/21/2022,2145,03/21/2022,2145,D4,20,4404,"Menge, W.  (677)",E Mark Ln,Scottsdale,AZ,LFF,Long Form Filed
658449,22-06140  ,MED,Medical,Completed,03/21/2022,03/21/2022,2136,03/21/2022,2136,D3,13,3111,"Huynh, T.  (1601)",E Sunnyside DR,Scottsdale,AZ,INAC,Inactive
658450,22-06142  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/21/2022,03/21/2022,2308,03/21/2022,2310,D1,02,610,"Fellows, D.  (1268)",E Thomas Rd,Scottsdale,AZ,INAC,Inactive
658452,22-06144  ,13-3408A1,Narcotic Drug (Synthetic/Rx)-Possess/Use,Completed,03/21/2022,03/21/2022,2347,03/21/2022,2347,D2,06,9901,"Mathis, C.  (1578)",N 75th St,Scottsdale,AZ,LFF,Long Form Filed
658453,22-06145  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,03/22/2022,03/22/2022,0001,03/22/2022,0001,D1,01,304,"Farkas, E.  (1529)",E Roosevelt St,Scottsdale,AZ,CBA,Cleared By Arrest
658454,22-06146  ,13-3407A1,Dangerous Drug-Possess/Use,Completed,03/22/2022,03/22/2022,0032,03/22/2022,0032,D4,15,3604,"Fay, N.  (1265)",E Frank Lloyd Wright Bl / N Hayden Rd,Scottsdale,AZ,LFP,Long Form Pending
658455,22-06147  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,03/22/2022,03/22/2022,0055,03/22/2022,0055,D1,03,606,"Cabrera, D.  (1543)",N Scottsdale Rd / E Wilshire DR,Scottsdale,AZ,CBA,Cleared By Arrest
658456,22-06148  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,03/22/2022,03/22/2022,0123,03/22/2022,0123,,99,99,"Ivanoff, N.  (1402)",E McKellips Rd / N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658458,22-06149  ,WARRANT,Warrant - Fel - Other Jurisdiction,Completed,03/22/2022,03/22/2022,0154,03/22/2022,0154,D1,02,409,"Savage, K.  (1145)",E Hubbell St,Scottsdale,AZ,CBA,Cleared By Arrest
658459,22-06150  ,20-31B12,Park Closed 2230-Sunrise,Completed,03/22/2022,03/22/2022,0323,03/22/2022,0323,D1,01,103,"Lea, A.  (1215)",E Pierce St,Scottsdale,AZ,CBA,Cleared By Arrest
658460,22-06151  ,13-1506A1,Burglary 3rd Degree -- Commercial Building,Completed,03/22/2022,03/22/2022,0403,03/22/2022,0406,D2,06,808,"Vazquez, J.  (1515)",E Main St,Scottsdale,AZ,INAC,Inactive
658462,22-06152  ,MED,Medical,Completed,03/22/2022,03/22/2022,0600,03/22/2022,0600,D2,06,806,"Vazquez, J.  (1515)",N Brown Av / E Indian School Rd,Scottsdale,AZ,INAC,Inactive
658463,22-06154  ,13-1506A1,Burglary 3rd Degree -- Fenced Yard,Completed,03/22/2022,03/19/2022,0001,03/22/2022,0625,D1,02,407,"McDonough, J.  (768)",E McDowell Rd,Scottsdale,AZ,INAC,Inactive
658464,22-06156  ,IMPOUND,Impound Property,Completed,03/22/2022,03/22/2022,0754,03/22/2022,0754,D3,13,9902,"Schurr, D.  (601)",E Via Linda,Scottsdale,AZ,INAC,Inactive
658465,22-06157  ,28-3473A,Suspended/Revoked D.L.,Completed,03/22/2022,03/22/2022,0839,03/22/2022,0839,D4,15,3601,"Morrow, T.  (1274)",N Greenway-Hayden Loop / N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658466,22-06160  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/22/2022,03/21/2022,2230,03/22/2022,0750,D3,08,2205,"Schurr, D.  (601)",E San Miguel Av,Scottsdale,AZ,INAC,Inactive
658467,22-06158  ,WARRANT,Warrant - Misd - Other Jurisdiction,Completed,03/22/2022,03/22/2022,0857,03/22/2022,0857,D2,07,902,"Parsons, J.  (1329)",N Marshall Wy / E Via Soleri DR,Scottsdale,AZ,CBA,Cleared By Arrest
658469,22-06161  ,28-701.02A2,Exceed 20 mph In Busn or Resd or 45 mph If Not Posted,Completed,03/22/2022,03/22/2022,1003,03/22/2022,1003,D3,09,2301,"Berrett, S.  (1320)",E Lincoln DR / N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658470,22-06162  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/22/2022,03/22/2022,1015,03/22/2022,1015,D2,07,805,"Buckner, B.  (1422)",N Goldwater Bl,Scottsdale,AZ,INAC,Inactive
658471,22-06163  ,28-701.02A2,Exceed 20 mph In Busn or Resd or 45 mph If Not Posted,Completed,03/22/2022,03/22/2022,1030,03/22/2022,1030,D2,07,1002,"Parsons, J.  (1329)",N Goldwater Bl,Scottsdale,AZ,CBA,Cleared By Arrest
658472,22-06164  ,LOST PROPERTY,Lost Property,Completed,03/22/2022,03/22/2022,1115,03/22/2022,1115,D1,01,103,"Iwan, M.  (B1603)",E McKellips Rd,Scottsdale,AZ,INAC,Inactive
658475,22-06166  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,03/22/2022,03/22/2022,1116,03/22/2022,1116,D4,20,4103,"Vernon, A.  (812)",N 101st Pl / E Happy Valley Rd,Scottsdale,AZ,LFF,Long Form Filed
658481,22-06174  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/22/2022,03/21/2022,1700,03/22/2022,0630,D2,08,2204,"Esquivel, L.  (1513)",E Montebello Av,Scottsdale,AZ,INAC,Inactive
658491,22-06184  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/22/2022,03/22/2022,1256,03/22/2022,1256,D1,01,301,"Thomas, P.  (1456)",N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658492,22-06185  ,13-1405A,Sexual Conduct (Non-Consensual) W / Minor <= 17 Yrs,Completed,03/22/2022,09/21/2020,0000,03/12/2021,2359,D2,06,1003,"Halterman, M.  (1393)",E Camelback Rd,Scottsdale,AZ,CBE,Cleared By Exception
658493,22-06186  ,13-1802A1,Theft -- Other Larceny,Completed,03/22/2022,03/11/2022,1101,03/12/2022,1200,D1,04,701,"Seda, M.  (B1628)",E Thomas Rd,Scottsdale,AZ,INAC,Inactive
658495,22-06188  ,DEATH,Death Investigation,Completed,03/22/2022,03/19/2022,1700,03/22/2022,1421,D2,06,810,"Esquivel, L.  (1513)",N Hayden Rd,Scottsdale,AZ,INAC,Inactive
658496,22-06189  ,13-2009A3,Agg Take Identity to Obtain Employment,Completed,03/22/2022,02/22/2022,1422,03/22/2022,1422,D3,09,2307,"Zobel, P.  (693)",E McDonald DR,Scottsdale,AZ,INAC,Inactive
658497,22-06190  ,13-1802A1,Theft -- Other Larceny,Completed,03/22/2022,03/09/2022,1900,03/10/2022,0700,D1,01,101,"Hanser, J.  (1385)",E McKellips Rd,Scottsdale,AZ,INAC,Inactive
658498,22-06192  ,IMPOUND,Impound Property,Completed,03/22/2022,03/22/2022,1500,03/22/2022,1500,D4,19,3801,"Teeter, E.  (1180)",E Tailspin Ln,Scottsdale,AZ,INAC,Inactive
658499,22-06193  ,13-1203A1,Assault-Intentional/Recklessly Injure,Completed,03/22/2022,03/22/2022,1557,03/22/2022,1557,D4,15,3602,"Maki, J.  (1262)",E Frank Lloyd Wright Bl,Scottsdale,AZ,LFF,Long Form Filed
658500,22-06194  ,13-1802A1,Theft -- Other Larceny,Completed,03/22/2022,01/01/2022,1515,03/22/2022,1515,D4,16,3605,"Eavenson, G.  (B1608)",N Hayden Rd,Scottsdale,AZ,INAC,Inactive
658501,22-06196  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/22/2022,03/22/2022,1659,03/22/2022,1659,D1,03,607,"Koller, D.  (1405)",N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658502,22-06198  ,13-1802A1,Theft -- Other Larceny,Completed,03/22/2022,03/22/2022,1725,03/22/2022,1725,D1,01,304,"Cabrera, D.  (1543)",E Roosevelt St,Scottsdale,AZ,CBE,Cleared By Exception
658502,22-06198  ,13-1506A1,Burglary 3rd Degree -- Commercial Building,Completed,03/22/2022,03/22/2022,1725,03/22/2022,1725,D1,01,304,"Cabrera, D.  (1543)",E Roosevelt St,Scottsdale,AZ,CBE,Cleared By Exception
658503,22-06199  ,13-1602A1,Criminal Damage-Deface,Completed,03/22/2022,03/22/2022,1814,03/22/2022,1814,D1,01,103,"Farkas, E.  (1529)",N Hayden Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658504,22-06201  ,13-1203A1,Assault-Intentional/Recklessly Injure,Completed,03/22/2022,03/22/2022,1807,03/22/2022,1807,D3,14,2912,"Gil Canche, M.  (1392)",N 104th St / E Mountain View Rd,Scottsdale,AZ,INAC,Inactive
658505,22-06205  ,13-3415A,Drug Paraphernalia-Possess/Use,Completed,03/22/2022,03/22/2022,1817,03/22/2022,1817,D2,06,906,"Hawley, C.  (1577)",E Camelback Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658506,22-06204  ,13-3408A7,Narcotic Drug (Synthetic/Rx)-Transport or Sell,Completed,03/22/2022,03/22/2022,1926,03/22/2022,1926,,,0,"Chilczuk, D.  (1164)",W McDowell Rd,Avondale,AZ,INAC,Inactive
658507,22-06203  ,28-701.02A2,Exceed 20 mph In Busn or Resd or 45 mph If Not Posted,Completed,03/22/2022,03/22/2022,1920,03/22/2022,1920,D4,19,4002,"Teeter, E.  (1180)",N Hayden Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658508,22-06206  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,03/22/2022,03/22/2022,1837,03/22/2022,1837,D3,12,3101,"Simpson, J.  (1560)",N 64th St,Scottsdale,AZ,LFF,Long Form Filed
658509,22-06208  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/22/2022,03/20/2022,2105,03/20/2022,2105,D4,18,3407,"Owens, J.  (1419)",N 102nd St,Scottsdale,AZ,CBA,Cleared By Arrest
658510,22-06210  ,13-1805A5,Shoplifting-Concealment,Completed,03/22/2022,03/22/2022,1918,03/22/2022,1918,D2,07,902,"Esquivel, L.  (1513)",E Camelback Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658511,22-06209  ,13-1805A1,Shoplifting-Removal of Goods,Completed,03/22/2022,03/22/2022,1940,03/22/2022,1955,D2,07,902,"Vogt, J.  (1182)",E Camelback Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658513,22-06211  ,13-1805A5,Shoplifting-Concealment,Completed,03/22/2022,03/22/2022,2018,03/22/2022,2018,D1,04,601,"Farkas, E.  (1529)",E Thomas Rd,Scottsdale,AZ,LFF,Long Form Filed
658514,22-06212  ,28-662A1,Accidents - Fail to Stop-Damage Attended Vehicle,Completed,03/22/2022,03/22/2022,2150,03/22/2022,2150,D4,18,3802,"Matthew, C.  (1326)",E Bell Rd / N Thompson Peak Py,Scottsdale,AZ,LFF,Long Form Filed
658515,22-06213  ,13-1802A1,Theft -- From Building,Completed,03/22/2022,03/22/2022,1800,03/22/2022,1803,D4,15,3202,"Evans, J.  (1552)",N 75th Pl,Scottsdale,AZ,INAC,Inactive
658516,22-06214  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,03/22/2022,03/22/2022,2103,03/22/2022,2103,D1,01,302,"Ivanoff, N.  (1402)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658517,22-06215  ,28-1381A1,DUI-Impaired to Slightest Degree,Completed,03/22/2022,03/22/2022,2218,03/22/2022,2218,D2,05,907,"McCann, C.  (1273)",N Hayden Rd / E Indian School Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658518,22-06216  ,WARRANT,Warrant - Fel - Other Jurisdiction,,03/22/2022,03/22/2022,2222,03/22/2022,2222,D2,06,806,"Duarte, M.  (1623)",E Osborn Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658519,22-06217  ,13-1802A1,Theft -- From Building,Completed,03/22/2022,03/18/2022,1800,03/21/2022,0800,D2,06,1003,"Vazquez, J.  (1515)",E Camelback Rd,Scottsdale,AZ,INAC,Inactive
658520,22-06218  ,13-1802A1,Theft -- Other Larceny,Completed,03/22/2022,03/22/2022,2234,03/22/2022,2234,D3,09,2401,"Martinez, N.  (1454)",E Lincoln DR,Scottsdale,AZ,CBE,Cleared By Exception
658521,22-06220  ,13-3407A2,Dangerous Drug-Possess For Sale,Completed,03/23/2022,03/23/2022,0014,03/23/2022,0014,,99,99,"Fisher, R.  (1462)",E Hancock Av / N Scottsdale Rd,Tempe,AZ,LFF,Long Form Filed
658522,22-06221  ,13-1802A1,Theft -- Other Larceny,Completed,03/22/2022,03/22/2022,2134,03/22/2022,2134,D2,07,1102,"Krasznai, A.  (1618)",N Goldwater Bl,Scottsdale,AZ,INAC,Inactive
658524,22-06222  ,13-1602A1,Criminal Damage-Deface,Completed,03/23/2022,03/23/2022,0141,03/23/2022,0141,D2,06,904,"Vazquez, J.  (1515)",E Stetson DR,Scottsdale,AZ,LFF,Long Form Filed
658526,22-06224  ,4-244.41,Liquor-Under 21 Any Liquor In Body,Completed,03/23/2022,03/23/2022,0243,03/23/2022,0243,D3,10,2502,"Willkomm, R.  (1511)",E McCormick Py / N Scottsdale Rd,Scottsdale,AZ,CBA,Cleared By Arrest
658528,22-06225  ,RECOVERY/VEH,Recovery/Vehicle Foj,Completed,03/23/2022,03/23/2022,0430,03/23/2022,0430,D1,02,413,"Fellows, D.  (1268)",E McDowell Rd,Scottsdale,AZ,INAC,Inactive
658529,22-06226  ,13-1602A1,Criminal Damage-Deface,Completed,03/23/2022,03/23/2022,0514,03/23/2022,0514,D1,01,304,"Lea, A.  (1215)",E Roosevelt St,Scottsdale,AZ,INAC,Inactive
658533,22-06227  ,28-622.01,Felony Flight,Completed,03/23/2022,03/23/2022,0725,03/23/2022,0725,D1,03,705,"Rusch, J.  (419)",E Thomas Rd,Scottsdale,AZ,INAC,Inactive
658534,22-06229  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/22/2022,03/21/2022,1330,03/21/2022,1630,D2,08,2101,"Iwan, M.  (B1603)",N Scottsdale Rd,Scottsdale,AZ,INAC,Inactive
658535,22-06230  ,13-2904A1,Disorderly Conduct-Disruptive Behavior,Completed,03/23/2022,03/23/2022,0556,03/23/2022,0556,D2,06,906,"Vazquez, J.  (1515)",E Glenrosa Av,Scottsdale,AZ,LFF,Long Form Filed
658536,22-06231  ,13-1506A1,Burglary - Motor Vehicle,Completed,03/23/2022,03/22/2022,1730,03/23/2022,0800,D4,19,3801,"Browning, D.  (1594)",E Thompson Peak Py,Scottsdale,AZ,INAC,Inactive
658540,22-06236  ,13-1602A5,Criminal Damage-Draw On Property,Completed,03/23/2022,03/22/2022,1830,03/23/2022,0755,D2,07,903,"Dittman, D.  (1146)",E 5th Av,Scottsdale,AZ,INAC,Inactive
